,geoplot,invalidPlot
564,bunzlau,
565,pestújhely,
566,franfurt am main,
567,budapesten,
568,orosz fogságban volt,
569,nyíradony,
570,irholz,
571,kietlitzleben,
572,hirschberg,
573,bushenwald,
574,infeld,
575,nyírparasznya,
576,ternova,
577,mihályka,
578,mór,
579,bánhida,
580,csörg?,
581,bolzenburg,
582,göttenburg,
583,chuszt,
584,ansbach,
585,fürth,
586,dunaföldvár,
587,dörnau,
588,bergen zelle,
589,glewe,
590,berettó,
591,dernchau,
592,turz,
593,heiligenkreuz,
594,poppendorf,
595,dombóvár,
596,wedell,
597,vadászfalva,
598,ketergény,
599,nieder - orschl,
600,zwieberge,
601,salgótarján,
602,reinchenbach,
603,parschwitz,
604,bromberg,
605,oster,
606,rode am harz,
607,edemissen,
608,hajdúhadháza,
609,podhering,
610,prschkau,
611,zwodau,
612,rehmsdorf,
613,fels?szopor,
614,studhof,
615,enying,
616,krako - placow,
617,szászovka,
618,mühldorf waldlager,
619,briesen,
620,bisingen,
621,tröbicz,
622,jánosháza,
623,kis kirva majd mátészalka,
624,regensdorf,
625,zeitz,
626,kis kirva,
627,fels?visó,
628,hochwailer,
629,raho,
630,borsa,
631,bruck,
632,ungvár- téglagyár,
633,csap,
634,munkács - téglagyár,
635,nagykálló,
636,szenteske,
637,vedel,
638,tallós,
639,rábaszentandrás,
640,merklenberg,
641,dresden,
642,tiszafélegyháza,
643,barthe,
644,szelevény,
645,büd-szt.mihály,
646,ulicskriva,
647,hosztovize,
648,neugamen,
649,brauschweig,
650,ludwigslust,
651,pusztakvass#,
652,schönholz,
653,érsekkéty,
654,st.martin,
655,fels?veresmart,
656,fürsteinstein,
657,leonburg,
658,felsoverecke,
659,felsoremete,
660,lublin,
661,nagyszöllös,
662,kassa-téglagyár.,
663,mathausen,
664,ruszkavoda,
665,csornok,
666,komjáti,
667,waldenburg,
668,budapst,
669,gelenau,
670,gyor,
671,alsódomboru,
672,huszt (4 hét),
673,salzwedell belsenberg,
674,salzwedell,
675,szajkofalva,
676,pestvidéki törvényszék,
677,felsoveresmarton,
678,marosjánosi,
679,szillsárkány,
680,auschwitz - marklinberg,
681,alsóapsó,
682,arad,
683,uglya,
684,amstätten,
685,perecsény,
686,dohánygyár,
687,markleberg,
688,radebeul,
689,óbecse,
690,fürstenstein,
691,kravinki,
692,stampfsfred,
693,peterswaldau,
694,paslitz,
695,graz,
696,kántorjánosi,
697,kispest,
698,igló,
699,szöllösgyörök,
700,brenner,
701,vörder,
702,gödöllo,
703,rákospalota,
704,harneburg,
705,mez?kövesd,
706,reinickendorf,
707,oberlanzensdorf,
708,monor,
709,pátrona,
710,munkaszolg. volt,
711,lautlingen,
712,st. gheorgental,
713,henkel,
714,devecser,
715,kaufernig,
716,münldorf,
717,feldapfing,
718,unterlüsst,
719,berekövesd,
720,hunsfeld,
721,csepe,
722,birkenbau,
723,schönholz (berlin - reinickensdorf),
724,szentmiklós,
725,erlenbusch,
726,krahwinkel,
727,borzsova,
728,edelstett,
729,szolyva,
730,munkaszolg.,
731,reinitzdorf,
732,mihldorf,
733,tiszafehéregyháza,
734,espenfeld,
735,szerednye,
736,grünberg,
737,szászrég,
738,debrecen,
739,hohenelbe,
740,mauthasuen,
