Place,place_of_birth,ghetto,camps,Latitude,Longitude,total_freq,place_type
 Ovrucs,0.0,0.0,0.0,51.3259771,28.8026718,0.0,place_of_birth
 Hidegség,0.0,0.0,0.0,47.6251989,16.7413826,0.0,place_of_birth
 Kurszk,0.0,0.0,0.0,51.7309249,36.1923123,0.0,place_of_birth
 Branau,0.0,0.0,0.0,50.0128746,13.8429121,0.0,place_of_birth
 Rechnitz,0.0,0.0,0.0,47.3049404,16.4408807,0.0,place_of_birth
 Sopron,0.0,0.0,0.0,47.6803063,16.5983457,0.0,place_of_birth
 Győr,0.0,0.0,0.0,47.687609,17.6346815,0.0,place_of_birth
 Schandorf,0.0,0.0,0.0,47.2428207,16.4212819,0.0,place_of_birth
 Javozno,0.0,0.0,0.0,50.203439,19.2721559,0.0,place_of_birth
 Blechhammer,0.0,0.0,0.0,50.6251017,11.1537574,0.0,place_of_birth
 Bochum,0.0,0.0,0.0,51.4818111,7.2196635,0.0,place_of_birth
 Grünberg,0.0,0.0,0.0,50.5913238,8.9603407,0.0,place_of_birth
 Ragun,0.0,0.0,0.0,6.6579144,3.9903131,0.0,place_of_birth
 Theresin,0.0,0.0,0.0,15.5588886,-88.0269352,0.0,place_of_birth
 Trautenau,0.0,0.0,0.0,50.5608851,15.9130498,0.0,place_of_birth
 Sachsenhaus,0.0,0.0,0.0,48.51747895,9.04220864246815,0.0,place_of_birth
 Lieberose,0.0,0.0,0.0,51.9865536,14.2996945,0.0,place_of_birth
 Zielitz,0.0,0.0,0.0,52.2884504,11.6752462,0.0,place_of_birth
 Balf,0.0,0.0,0.0,47.6457018,16.6659604,0.0,place_of_birth
 Türkheim,0.0,0.0,0.0,48.0878217,7.278011,0.0,place_of_birth
 Brenner,0.0,0.0,0.0,47.0073993,11.5066996,0.0,place_of_birth
 Vörder,0.0,0.0,0.0,49.9222389,14.1986542,0.0,place_of_birth
 Gusen I.,0.0,0.0,0.0,48.2581303,14.46266,0.0,place_of_birth
 Offenburg,0.0,0.0,0.0,48.4716556,7.944378,0.0,place_of_birth
 Karwinkel,0.0,0.0,0.0,49.7851494,9.8826663,0.0,place_of_birth
 Malchow,0.0,0.0,0.0,53.4775641,12.4245172,0.0,place_of_birth
 Taucha,0.0,0.0,0.0,51.39240555,12.51287104658478,0.0,place_of_birth
 Oster,0.0,0.0,0.0,43.0487175,-0.0129855,0.0,place_of_birth
 Edemissen,0.0,0.0,0.0,52.387466,10.2590575,0.0,place_of_birth
 Muttering,0.0,0.0,0.0,47.9674717,12.8495857,0.0,place_of_birth
 Zwieberge,0.0,0.0,0.0,51.8510754,11.1051205,0.0,place_of_birth
 Erlenbusch,0.0,0.0,0.0,51.0485388,7.300562,0.0,place_of_birth
 Krahwinkel,0.0,0.0,0.0,50.8523257,7.2921146,0.0,place_of_birth
 Stuthof,0.0,0.0,0.0,54.1663232,12.1724613,0.0,place_of_birth
 Espenfeld,0.0,0.0,0.0,50.8097114,10.8957361,0.0,place_of_birth
 Glewe,0.0,0.0,0.0,52.7374582,12.3234136,0.0,place_of_birth
 Ansbach,0.0,0.0,0.0,49.3028611,10.5722288,0.0,place_of_birth
 Fürth,0.0,0.0,0.0,49.4772475,10.9893626,0.0,place_of_birth
 Peterswaldau,0.0,0.0,0.0,50.7124412,16.581609,0.0,place_of_birth
 Holleschau,0.0,0.0,0.0,49.333718,17.5786751,0.0,place_of_birth
 Brünn,0.0,0.0,0.0,49.1922443,16.6113382,0.0,place_of_birth
 Mühldorf Waldlager,0.0,0.0,0.0,48.2373807,12.4304318,0.0,place_of_birth
 Helmbrechts,0.0,0.0,0.0,50.2349797,11.7163126,0.0,place_of_birth
 Vedel,0.0,0.0,0.0,43.9556019,0.8998927,0.0,place_of_birth
 Minihof,0.0,0.0,0.0,48.5589779,12.8956136,0.0,place_of_birth
 Henkel,0.0,0.0,0.0,41.6003104,-89.1736991,0.0,place_of_birth
 Glogau,0.0,0.0,0.0,51.6636791,16.0935567,0.0,place_of_birth
 Schönebeck,0.0,0.0,0.0,52.0205998,11.7383277,0.0,place_of_birth
 Plastau,0.0,0.0,0.0,52.6602968,10.8530845,0.0,place_of_birth
 St.Pölten,0.0,0.0,0.0,48.193315,15.619871498286466,0.0,place_of_birth
 Schörzingen,0.0,0.0,0.0,48.1793267,8.7462709,0.0,place_of_birth
 Harzburg,0.0,0.0,0.0,51.588694,10.757222,0.0,place_of_birth
 Briesen,0.0,0.0,0.0,48.8053349,19.6409612,0.0,place_of_birth
 Bisingen,0.0,0.0,0.0,48.3120203,8.9163672,0.0,place_of_birth
 Poppendorf,0.0,0.0,0.0,54.1315304,12.2875185,0.0,place_of_birth
 Glau,0.0,0.0,0.0,52.240396,13.1672203,0.0,place_of_birth
 Passau,0.0,0.0,0.0,48.5748229,13.4609744,0.0,place_of_birth
 Augsburg,0.0,0.0,0.0,48.3668041,10.8986971,0.0,place_of_birth
 Schönholz,0.0,0.0,0.0,52.5715004,13.3809904,0.0,place_of_birth
 Reinickendorf,0.0,0.0,0.0,52.6047631,13.2952872,0.0,place_of_birth
